Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Initiative Growth for Development,Health,29,27,231,Riyadh,Western,7,0,76,Ministry of Communications and Information Technology,Elderly,Relief,2006,Unaccredited,8486,98,70,7621,78,No
Association Progress for Youth,Charitable,12,3,275,Dammam,Eastern,18,13,65,Ministry of Education,Job Seekers,Advocacy,1996,Unaccredited,6650,29,52,3349,99,Yes
Association Empowerment for Development,Educational,6,26,98,Jeddah,Western,10,20,92,Ministry of Human Resources and Social Development,Disabled,Community Engagement,2017,Pending,2601,56,19,4633,87,Yes
Society Prosperity for Change,Development,17,24,124,Medina,Western,19,6,94,"Ministry of Environment, Water and Agriculture",Students,Community Engagement,2004,Accredited,1050,89,46,3445,74,No
Initiative Compassion for Youth,Educational,4,13,253,Najran,Central,5,15,65,"Ministry of Environment, Water and Agriculture",Youth,Community Engagement,2015,Accredited,946,72,64,8345,64,Yes
Initiative Harmony Mission,Environmental,25,16,121,Dammam,Northern,10,1,79,Ministry of Communications and Information Technology,Job Seekers,Research,1992,Unaccredited,5012,62,97,1722,91,No
Initiative Empowerment for Communities,Development,42,29,221,Tabuk,Northern,20,5,70,Ministry of Education,Youth,Relief,2000,Accredited,294,88,6,8127,96,Yes
Society Innovation Group,Social Services,23,16,288,Abha,Northern,11,19,96,Ministry of Communications and Information Technology,Orphans,Research,2013,Accredited,7171,32,50,5583,67,No
Center Care for Youth,Social Services,27,23,168,Taif,Northern,16,15,97,Ministry of Health,Job Seekers,Advocacy,2013,Unaccredited,8764,94,14,2644,68,No
Association Development for Youth,Environmental,33,13,89,Najran,Northern,17,19,81,"Ministry of Environment, Water and Agriculture",Orphans,Training,2011,Accredited,1438,9,64,6004,81,Yes
Association Unity Initiative,Health,13,11,183,Makkah,Southern,13,0,75,Ministry of Communications and Information Technology,Job Seekers,Awareness,2021,Pending,164,33,71,6376,77,Yes
Foundation Progress for Development,Educational,12,6,241,Jeddah,Southern,3,17,69,"Ministry of Environment, Water and Agriculture",Families,Awareness,1994,Pending,5779,48,78,7413,88,No
Center Growth for Youth,Development,29,19,275,Taif,Eastern,17,8,68,Ministry of Communications and Information Technology,Disabled,Relief,2018,Pending,6073,51,91,4158,67,No
Foundation Hope for Change,Social Services,35,9,37,Najran,Northern,3,12,97,Ministry of Education,Students,Training,2015,Pending,8128,10,31,6824,92,Yes
Society Growth Mission,Cultural,5,8,292,Abha,Northern,3,10,67,Ministry of Culture,Families,Community Engagement,2019,Accredited,8657,74,83,7800,88,No
Association Innovation for Change,Cultural,15,18,94,Tabuk,Southern,12,4,93,Ministry of Human Resources and Social Development,Patients,Community Engagement,1993,Pending,5738,4,99,7695,100,No
Association Prosperity for Change,Development,6,28,141,Dammam,Northern,1,3,89,Ministry of Communications and Information Technology,Elderly,Training,2017,Pending,7054,10,77,3008,69,Yes
Foundation Development for Communities,Educational,26,15,289,Hail,Eastern,12,10,70,Ministry of Education,Elderly,Relief,2017,Pending,5145,11,33,8222,97,No
Center Harmony Network,Cultural,9,3,50,Abha,Western,10,9,93,Ministry of Health,Patients,Training,2011,Unaccredited,4724,21,66,9964,83,Yes
Society Prosperity Initiative,Educational,31,25,173,Dammam,Northern,18,16,97,Ministry of Economy and Planning,Families,Community Engagement,2012,Unaccredited,7143,100,15,8348,89,No
Center Development for Change,Youth,42,15,287,Najran,Eastern,16,2,70,Ministry of Communications and Information Technology,Students,Relief,2008,Accredited,7372,34,54,3703,94,No
Center Empowerment Group,Health,21,17,26,Medina,Eastern,14,2,77,"Ministry of Environment, Water and Agriculture",Youth,Relief,2003,Unaccredited,231,35,69,3072,99,Yes
Initiative Prosperity for Change,Cultural,24,20,107,Medina,Western,6,8,99,"Ministry of Environment, Water and Agriculture",Students,Capacity Building,2008,Accredited,4507,41,3,904,61,No
Foundation Growth Mission,Social Services,18,30,30,Dammam,Northern,8,2,67,"Ministry of Environment, Water and Agriculture",Youth,Relief,1993,Pending,5566,38,36,5572,62,Yes
Society Development Group,Social Services,37,28,300,Najran,Northern,2,13,61,Ministry of Human Resources and Social Development,Families,Research,2007,Unaccredited,7229,44,91,5493,96,No
Foundation Empowerment for Communities,Social Services,18,19,223,Riyadh,Northern,15,19,75,Ministry of Human Resources and Social Development,Families,Capacity Building,1993,Unaccredited,2205,87,34,2099,89,No
Center Unity Group,Youth,7,2,201,Jeddah,Southern,11,18,72,Ministry of Human Resources and Social Development,Orphans,Relief,1995,Accredited,3292,51,61,3857,76,Yes
Society Prosperity Network,Youth,26,7,24,Abha,Northern,19,10,94,Ministry of Education,Families,Advocacy,2019,Accredited,1300,30,51,6180,90,No
Society Innovation for Change,Development,2,12,221,Najran,Eastern,7,20,78,Ministry of Economy and Planning,Orphans,Research,1992,Unaccredited,5432,43,72,9094,61,Yes
Society Innovation for Change,Cultural,49,21,251,Medina,Eastern,1,12,76,Ministry of Economy and Planning,Patients,Capacity Building,2022,Unaccredited,1784,17,50,7708,89,Yes
Foundation Progress Mission,Environmental,19,9,28,Dammam,Western,18,15,82,Ministry of Education,Orphans,Awareness,1990,Pending,5906,48,84,5346,65,No
Initiative Hope Initiative,Cultural,37,25,119,Medina,Southern,8,6,79,Ministry of Education,Orphans,Community Engagement,2003,Pending,8689,16,72,9100,94,Yes
Center Harmony Network,Charitable,13,8,250,Riyadh,Southern,8,7,74,"Ministry of Environment, Water and Agriculture",Job Seekers,Capacity Building,2021,Pending,1444,77,28,6245,78,Yes
Center Empowerment Group,Development,34,27,268,Makkah,Northern,13,5,85,Ministry of Economy and Planning,Students,Capacity Building,2002,Pending,7902,99,66,6757,79,Yes
Foundation Harmony Network,Environmental,15,19,249,Taif,Central,7,6,75,Ministry of Human Resources and Social Development,Youth,Advocacy,1997,Pending,4776,25,39,6845,92,No
Society Development Initiative,Environmental,22,23,100,Hail,Western,11,1,67,Ministry of Communications and Information Technology,Orphans,Relief,2002,Unaccredited,9367,9,100,6433,100,Yes
Center Innovation for Communities,Cultural,48,8,173,Dammam,Northern,10,6,82,"Ministry of Environment, Water and Agriculture",Orphans,Community Engagement,1998,Unaccredited,244,43,11,3881,84,Yes
Society Development Initiative,Youth,31,15,98,Tabuk,Southern,19,17,61,Ministry of Municipal and Rural Affairs,Families,Advocacy,2015,Pending,3921,5,98,1236,76,No
Initiative Prosperity for Change,Environmental,19,28,60,Najran,Northern,18,10,64,Ministry of Education,Job Seekers,Community Engagement,2010,Accredited,3379,100,61,683,88,No
Foundation Light Mission,Social Services,25,14,17,Makkah,Western,3,16,77,Ministry of Health,Patients,Community Engagement,2016,Pending,6105,82,11,2421,73,Yes
Initiative Prosperity Network,Development,20,6,166,Najran,Eastern,9,9,66,Ministry of Municipal and Rural Affairs,Elderly,Capacity Building,2000,Pending,4554,95,16,9814,75,No
Center Empowerment Mission,Environmental,19,20,117,Abha,Eastern,16,1,80,Ministry of Municipal and Rural Affairs,Disabled,Community Engagement,2014,Accredited,2948,97,53,6309,74,No
Center Compassion Network,Cultural,39,18,125,Riyadh,Central,3,5,82,Ministry of Education,Orphans,Capacity Building,2004,Accredited,4743,15,76,2194,93,No
Society Innovation Group,Technology,45,7,253,Riyadh,Southern,13,16,71,Ministry of Culture,Families,Training,2011,Unaccredited,5664,72,38,7184,98,Yes
Center Empowerment Network,Social Services,11,13,228,Taif,Central,19,19,74,Ministry of Communications and Information Technology,Orphans,Awareness,2017,Accredited,8567,61,7,8444,81,No
Society Hope Group,Educational,24,25,143,Dammam,Western,12,10,64,Ministry of Communications and Information Technology,Families,Relief,2017,Accredited,1154,22,25,3946,91,Yes
Center Growth for Youth,Charitable,3,16,245,Makkah,Central,3,7,78,Ministry of Human Resources and Social Development,Job Seekers,Research,2021,Pending,7011,49,9,2992,70,Yes
Center Light Initiative,Development,29,28,190,Tabuk,Northern,1,16,68,Ministry of Human Resources and Social Development,Orphans,Training,2011,Accredited,9931,24,8,688,66,Yes
Center Empowerment for Development,Environmental,42,20,160,Riyadh,Eastern,14,15,64,Ministry of Health,Orphans,Awareness,2012,Accredited,5109,51,31,6747,76,Yes
Society Compassion for Change,Charitable,5,28,237,Makkah,Eastern,13,17,66,Ministry of Economy and Planning,Families,Relief,2006,Pending,9036,86,46,2898,98,No
Foundation Prosperity for Youth,Technology,30,15,121,Jeddah,Western,20,14,74,Ministry of Health,Patients,Relief,2003,Accredited,6840,72,56,7456,82,Yes
Society Care for Development,Environmental,45,20,36,Medina,Southern,17,16,95,Ministry of Culture,Disabled,Capacity Building,2016,Accredited,7637,86,59,6854,93,Yes
Initiative Prosperity for Communities,Cultural,23,6,140,Riyadh,Northern,18,3,75,Ministry of Communications and Information Technology,Disabled,Research,2022,Unaccredited,6920,95,64,3026,94,Yes
Center Light Group,Technology,33,23,206,Najran,Western,11,6,80,Ministry of Municipal and Rural Affairs,Elderly,Awareness,1997,Pending,473,9,1,8761,97,Yes
Foundation Empowerment for Development,Health,36,6,23,Taif,Northern,3,11,77,Ministry of Culture,Orphans,Training,2001,Unaccredited,4718,10,25,1571,80,Yes
Association Compassion Mission,Technology,27,20,88,Taif,Western,5,15,77,Ministry of Health,Patients,Relief,2015,Pending,928,83,81,569,62,Yes
Center Unity for Development,Youth,15,5,262,Riyadh,Central,13,9,60,Ministry of Municipal and Rural Affairs,Orphans,Research,1996,Accredited,4570,25,19,8963,92,No
Center Progress Network,Environmental,21,13,141,Taif,Central,12,6,75,Ministry of Municipal and Rural Affairs,Elderly,Capacity Building,2001,Accredited,5810,9,15,4434,92,No
Initiative Harmony for Communities,Health,4,3,269,Tabuk,Western,13,1,69,Ministry of Economy and Planning,Refugees,Awareness,2010,Accredited,6450,71,78,1681,93,No
Association Prosperity for Change,Social Services,11,27,69,Dammam,Southern,1,14,99,Ministry of Economy and Planning,Job Seekers,Awareness,2014,Accredited,6235,66,75,9362,96,No
Society Innovation for Development,Social Services,48,15,80,Medina,Western,1,1,89,Ministry of Communications and Information Technology,Youth,Research,2003,Accredited,3715,56,88,1934,86,No
Initiative Development for Development,Cultural,50,13,264,Taif,Western,2,15,64,Ministry of Culture,Patients,Awareness,2008,Accredited,2150,89,10,326,61,Yes
Foundation Growth Initiative,Charitable,22,13,112,Riyadh,Eastern,1,6,98,Ministry of Municipal and Rural Affairs,Youth,Advocacy,1994,Unaccredited,2124,70,73,5032,93,Yes
Association Innovation for Development,Educational,22,21,122,Dammam,Western,18,7,90,Ministry of Education,Elderly,Awareness,2020,Unaccredited,472,79,94,4165,81,No
Association Development Mission,Youth,10,11,299,Dammam,Western,7,17,63,Ministry of Human Resources and Social Development,Families,Training,2009,Accredited,4791,16,13,518,94,No
Center Development for Communities,Cultural,19,25,233,Abha,Southern,10,19,76,Ministry of Culture,Families,Capacity Building,2011,Accredited,8148,7,74,8155,96,Yes
Society Empowerment for Change,Charitable,5,25,133,Taif,Western,10,8,71,Ministry of Communications and Information Technology,Orphans,Advocacy,1992,Accredited,8851,92,59,3682,90,No
Foundation Progress for Change,Charitable,6,2,236,Dammam,Central,18,11,85,Ministry of Economy and Planning,Students,Relief,2010,Unaccredited,4027,49,74,2714,87,No
Center Hope Initiative,Social Services,12,7,217,Taif,Western,15,9,94,Ministry of Culture,Job Seekers,Research,1996,Unaccredited,3366,15,55,7350,67,No
Center Harmony for Communities,Health,3,1,235,Taif,Western,11,0,79,Ministry of Human Resources and Social Development,Students,Relief,2000,Unaccredited,7441,28,3,8855,100,No
Association Innovation for Change,Health,13,29,54,Najran,Southern,4,9,86,"Ministry of Environment, Water and Agriculture",Students,Community Engagement,2005,Pending,7988,83,58,533,73,Yes
Association Development for Communities,Health,34,11,145,Jeddah,Eastern,3,4,70,Ministry of Economy and Planning,Youth,Awareness,2021,Accredited,6366,92,61,1291,100,No
Initiative Innovation for Communities,Development,34,11,67,Medina,Southern,4,7,92,Ministry of Health,Youth,Research,2007,Accredited,5674,84,75,6135,62,No
Initiative Innovation Mission,Development,33,26,113,Hail,Western,14,3,93,Ministry of Human Resources and Social Development,Youth,Training,2013,Accredited,1518,68,3,8829,88,Yes
Foundation Empowerment Network,Environmental,20,19,119,Tabuk,Northern,15,12,95,Ministry of Communications and Information Technology,Students,Capacity Building,2014,Unaccredited,7720,57,49,4197,61,Yes
Association Empowerment for Communities,Development,22,18,74,Tabuk,Northern,6,19,95,Ministry of Economy and Planning,Families,Training,2018,Pending,2348,28,79,767,80,No
Initiative Innovation for Development,Technology,40,12,193,Makkah,Southern,2,16,84,"Ministry of Environment, Water and Agriculture",Job Seekers,Advocacy,1990,Pending,6383,36,51,3296,67,Yes
Foundation Care Mission,Social Services,8,16,214,Makkah,Western,10,0,82,Ministry of Communications and Information Technology,Refugees,Advocacy,2018,Accredited,2663,38,81,3868,62,No
Foundation Growth for Change,Educational,41,12,138,Jeddah,Northern,14,14,71,Ministry of Health,Patients,Relief,1990,Unaccredited,7761,11,79,6040,79,Yes
Association Prosperity Network,Charitable,45,24,89,Jeddah,Western,5,2,67,"Ministry of Environment, Water and Agriculture",Families,Research,2004,Unaccredited,1229,35,8,2906,60,No
Center Light Initiative,Social Services,45,5,57,Jeddah,Northern,13,10,100,Ministry of Health,Families,Capacity Building,2016,Unaccredited,3696,24,2,8703,72,Yes
Society Care Mission,Social Services,43,20,151,Hail,Central,9,7,74,Ministry of Education,Students,Research,2014,Pending,9207,52,88,2827,96,No
Foundation Unity Initiative,Development,36,8,106,Hail,Southern,20,5,97,Ministry of Communications and Information Technology,Disabled,Advocacy,2018,Pending,3147,61,84,3454,100,No
Society Care for Youth,Educational,38,9,245,Abha,Southern,20,9,79,Ministry of Culture,Orphans,Awareness,1995,Unaccredited,7900,51,33,9237,87,No
Society Care Mission,Social Services,48,13,261,Tabuk,Western,19,4,80,"Ministry of Environment, Water and Agriculture",Orphans,Advocacy,2011,Pending,3210,25,68,2028,90,Yes
Society Prosperity for Youth,Technology,29,7,186,Hail,Northern,3,5,61,Ministry of Communications and Information Technology,Families,Community Engagement,1999,Pending,5397,48,29,314,85,Yes
Society Light Group,Environmental,34,5,210,Medina,Southern,7,11,65,Ministry of Communications and Information Technology,Disabled,Capacity Building,1990,Accredited,7155,90,42,486,86,No
Association Hope Mission,Technology,33,1,236,Abha,Southern,1,4,96,Ministry of Health,Families,Training,2016,Accredited,8513,7,51,7654,77,Yes
Society Harmony for Change,Cultural,30,10,222,Medina,Central,2,7,73,"Ministry of Environment, Water and Agriculture",Elderly,Awareness,1993,Accredited,6233,5,64,8792,96,No
Foundation Development Network,Development,29,17,213,Medina,Southern,8,17,70,Ministry of Communications and Information Technology,Patients,Community Engagement,1990,Pending,9736,84,6,195,97,No
Association Empowerment for Communities,Development,6,25,122,Medina,Central,6,11,87,Ministry of Health,Elderly,Awareness,2012,Pending,6448,2,8,8265,95,No
Foundation Harmony Mission,Development,6,15,275,Najran,Central,8,8,80,"Ministry of Environment, Water and Agriculture",Orphans,Advocacy,2011,Accredited,4554,4,98,128,90,No
Society Light for Communities,Development,2,16,256,Dammam,Eastern,18,6,76,Ministry of Education,Orphans,Community Engagement,1991,Accredited,1278,98,4,8290,94,No
Initiative Prosperity Network,Development,30,5,66,Abha,Eastern,18,7,88,"Ministry of Environment, Water and Agriculture",Job Seekers,Research,2012,Accredited,1206,15,88,455,75,Yes
Society Harmony for Change,Development,48,27,230,Medina,Northern,2,11,60,Ministry of Economy and Planning,Youth,Capacity Building,2016,Accredited,7961,64,16,1052,89,No
Foundation Hope Group,Youth,46,26,157,Hail,Northern,12,13,80,Ministry of Communications and Information Technology,Refugees,Advocacy,2020,Unaccredited,6383,12,74,3668,81,No
Initiative Harmony for Development,Environmental,9,20,138,Medina,Northern,16,9,100,Ministry of Communications and Information Technology,Job Seekers,Capacity Building,2004,Unaccredited,6824,77,17,8098,85,No
